day,status,count,first_day,date
22 days,Kein Schutz,195527,2020-02-27,2020-03-20
22 days,Schutz gegen Infektion,1208,2020-02-27,2020-03-20
23 days,Kein Schutz,195331,2020-02-27,2020-03-21
23 days,Schutz gegen Infektion,1404,2020-02-27,2020-03-21
24 days,Kein Schutz,195171,2020-02-27,2020-03-22
24 days,Schutz gegen Infektion,1564,2020-02-27,2020-03-22
25 days,Kein Schutz,195047,2020-02-27,2020-03-23
25 days,Schutz gegen Infektion,1688,2020-02-27,2020-03-23
26 days,Kein Schutz,194823,2020-02-27,2020-03-24
26 days,Schutz gegen Infektion,1912,2020-02-27,2020-03-24
27 days,Kein Schutz,194647,2020-02-27,2020-03-25
27 days,Schutz gegen Infektion,2088,2020-02-27,2020-03-25
28 days,Kein Schutz,194519,2020-02-27,2020-03-26
28 days,Schutz gegen Infektion,2216,2020-02-27,2020-03-26
29 days,Kein Schutz,194371,2020-02-27,2020-03-27
29 days,Schutz gegen Infektion,2364,2020-02-27,2020-03-27
30 days,Kein Schutz,194239,2020-02-27,2020-03-28
30 days,Schutz gegen Infektion,2496,2020-02-27,2020-03-28
31 days,Kein Schutz,194159,2020-02-27,2020-03-29
31 days,Schutz gegen Infektion,2576,2020-02-27,2020-03-29
32 days,Kein Schutz,194031,2020-02-27,2020-03-30
32 days,Schutz gegen Infektion,2704,2020-02-27,2020-03-30
33 days,Kein Schutz,193939,2020-02-27,2020-03-31
33 days,Schutz gegen Infektion,2796,2020-02-27,2020-03-31
34 days,Kein Schutz,193835,2020-02-27,2020-04-01
34 days,Schutz gegen Infektion,2900,2020-02-27,2020-04-01
35 days,Kein Schutz,193711,2020-02-27,2020-04-02
35 days,Schutz gegen Infektion,3024,2020-02-27,2020-04-02
36 days,Kein Schutz,193627,2020-02-27,2020-04-03
36 days,Schutz gegen Infektion,3108,2020-02-27,2020-04-03
37 days,Kein Schutz,193583,2020-02-27,2020-04-04
37 days,Schutz gegen Infektion,3152,2020-02-27,2020-04-04
38 days,Kein Schutz,193507,2020-02-27,2020-04-05
38 days,Schutz gegen Infektion,3228,2020-02-27,2020-04-05
39 days,Kein Schutz,193451,2020-02-27,2020-04-06
39 days,Schutz gegen Infektion,3284,2020-02-27,2020-04-06
40 days,Kein Schutz,193411,2020-02-27,2020-04-07
40 days,Schutz gegen Infektion,3324,2020-02-27,2020-04-07
41 days,Kein Schutz,193351,2020-02-27,2020-04-08
41 days,Schutz gegen Infektion,3384,2020-02-27,2020-04-08
42 days,Kein Schutz,193287,2020-02-27,2020-04-09
42 days,Schutz gegen Infektion,3448,2020-02-27,2020-04-09
43 days,Kein Schutz,193267,2020-02-27,2020-04-10
43 days,Schutz gegen Infektion,3468,2020-02-27,2020-04-10
44 days,Kein Schutz,193243,2020-02-27,2020-04-11
44 days,Schutz gegen Infektion,3492,2020-02-27,2020-04-11
45 days,Kein Schutz,193203,2020-02-27,2020-04-12
45 days,Schutz gegen Infektion,3532,2020-02-27,2020-04-12
46 days,Kein Schutz,193183,2020-02-27,2020-04-13
46 days,Schutz gegen Infektion,3552,2020-02-27,2020-04-13
47 days,Kein Schutz,193143,2020-02-27,2020-04-14
47 days,Schutz gegen Infektion,3592,2020-02-27,2020-04-14
48 days,Kein Schutz,193127,2020-02-27,2020-04-15
48 days,Schutz gegen Infektion,3608,2020-02-27,2020-04-15
49 days,Kein Schutz,193091,2020-02-27,2020-04-16
49 days,Schutz gegen Infektion,3644,2020-02-27,2020-04-16
50 days,Kein Schutz,193063,2020-02-27,2020-04-17
50 days,Schutz gegen Infektion,3672,2020-02-27,2020-04-17
51 days,Kein Schutz,193047,2020-02-27,2020-04-18
51 days,Schutz gegen Infektion,3688,2020-02-27,2020-04-18
52 days,Kein Schutz,193039,2020-02-27,2020-04-19
52 days,Schutz gegen Infektion,3696,2020-02-27,2020-04-19
53 days,Kein Schutz,193035,2020-02-27,2020-04-20
53 days,Schutz gegen Infektion,3700,2020-02-27,2020-04-20
54 days,Kein Schutz,193031,2020-02-27,2020-04-21
54 days,Schutz gegen Infektion,3704,2020-02-27,2020-04-21
55 days,Kein Schutz,193019,2020-02-27,2020-04-22
55 days,Schutz gegen Infektion,3716,2020-02-27,2020-04-22
56 days,Kein Schutz,193003,2020-02-27,2020-04-23
56 days,Schutz gegen Infektion,3732,2020-02-27,2020-04-23
57 days,Kein Schutz,192995,2020-02-27,2020-04-24
57 days,Schutz gegen Infektion,3740,2020-02-27,2020-04-24
58 days,Kein Schutz,192987,2020-02-27,2020-04-25
58 days,Schutz gegen Infektion,3748,2020-02-27,2020-04-25
59 days,Kein Schutz,192983,2020-02-27,2020-04-26
59 days,Schutz gegen Infektion,3752,2020-02-27,2020-04-26
60 days,Kein Schutz,192975,2020-02-27,2020-04-27
60 days,Schutz gegen Infektion,3760,2020-02-27,2020-04-27
61 days,Kein Schutz,192959,2020-02-27,2020-04-28
61 days,Schutz gegen Infektion,3776,2020-02-27,2020-04-28
62 days,Kein Schutz,192947,2020-02-27,2020-04-29
62 days,Schutz gegen Infektion,3788,2020-02-27,2020-04-29
63 days,Kein Schutz,192939,2020-02-27,2020-04-30
63 days,Schutz gegen Infektion,3796,2020-02-27,2020-04-30
64 days,Kein Schutz,192923,2020-02-27,2020-05-01
64 days,Schutz gegen Infektion,3812,2020-02-27,2020-05-01
65 days,Kein Schutz,192923,2020-02-27,2020-05-02
65 days,Schutz gegen Infektion,3812,2020-02-27,2020-05-02
66 days,Kein Schutz,192915,2020-02-27,2020-05-03
66 days,Schutz gegen Infektion,3820,2020-02-27,2020-05-03
67 days,Kein Schutz,192903,2020-02-27,2020-05-04
67 days,Schutz gegen Infektion,3832,2020-02-27,2020-05-04
68 days,Kein Schutz,192899,2020-02-27,2020-05-05
68 days,Schutz gegen Infektion,3836,2020-02-27,2020-05-05
69 days,Kein Schutz,192887,2020-02-27,2020-05-06
69 days,Schutz gegen Infektion,3848,2020-02-27,2020-05-06
70 days,Kein Schutz,192883,2020-02-27,2020-05-07
70 days,Schutz gegen Infektion,3852,2020-02-27,2020-05-07
71 days,Kein Schutz,192879,2020-02-27,2020-05-08
71 days,Schutz gegen Infektion,3856,2020-02-27,2020-05-08
72 days,Kein Schutz,192879,2020-02-27,2020-05-09
72 days,Schutz gegen Infektion,3856,2020-02-27,2020-05-09
73 days,Kein Schutz,192871,2020-02-27,2020-05-10
73 days,Schutz gegen Infektion,3864,2020-02-27,2020-05-10
74 days,Kein Schutz,192871,2020-02-27,2020-05-11
74 days,Schutz gegen Infektion,3864,2020-02-27,2020-05-11
75 days,Kein Schutz,192871,2020-02-27,2020-05-12
75 days,Schutz gegen Infektion,3864,2020-02-27,2020-05-12
76 days,Kein Schutz,192867,2020-02-27,2020-05-13
76 days,Schutz gegen Infektion,3868,2020-02-27,2020-05-13
77 days,Kein Schutz,192859,2020-02-27,2020-05-14
77 days,Schutz gegen Infektion,3876,2020-02-27,2020-05-14
78 days,Kein Schutz,192855,2020-02-27,2020-05-15
78 days,Schutz gegen Infektion,3880,2020-02-27,2020-05-15
79 days,Kein Schutz,192855,2020-02-27,2020-05-16
79 days,Schutz gegen Infektion,3880,2020-02-27,2020-05-16
80 days,Kein Schutz,192855,2020-02-27,2020-05-17
80 days,Schutz gegen Infektion,3880,2020-02-27,2020-05-17
81 days,Kein Schutz,192851,2020-02-27,2020-05-18
81 days,Schutz gegen Infektion,3884,2020-02-27,2020-05-18
82 days,Kein Schutz,192847,2020-02-27,2020-05-19
82 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-19
83 days,Kein Schutz,192847,2020-02-27,2020-05-20
83 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-20
84 days,Kein Schutz,192847,2020-02-27,2020-05-21
84 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-21
85 days,Kein Schutz,192847,2020-02-27,2020-05-22
85 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-22
86 days,Kein Schutz,192847,2020-02-27,2020-05-23
86 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-23
87 days,Kein Schutz,192847,2020-02-27,2020-05-24
87 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-24
88 days,Kein Schutz,192847,2020-02-27,2020-05-25
88 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-25
89 days,Kein Schutz,192847,2020-02-27,2020-05-26
89 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-26
90 days,Kein Schutz,192847,2020-02-27,2020-05-27
90 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-27
91 days,Kein Schutz,192847,2020-02-27,2020-05-28
91 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-28
92 days,Kein Schutz,192847,2020-02-27,2020-05-29
92 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-29
93 days,Kein Schutz,192847,2020-02-27,2020-05-30
93 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-30
94 days,Kein Schutz,192847,2020-02-27,2020-05-31
94 days,Schutz gegen Infektion,3888,2020-02-27,2020-05-31
95 days,Kein Schutz,192847,2020-02-27,2020-06-01
95 days,Schutz gegen Infektion,3888,2020-02-27,2020-06-01
96 days,Kein Schutz,192847,2020-02-27,2020-06-02
96 days,Schutz gegen Infektion,3888,2020-02-27,2020-06-02
97 days,Kein Schutz,192839,2020-02-27,2020-06-03
97 days,Schutz gegen Infektion,3896,2020-02-27,2020-06-03
98 days,Kein Schutz,192831,2020-02-27,2020-06-04
98 days,Schutz gegen Infektion,3904,2020-02-27,2020-06-04
99 days,Kein Schutz,192831,2020-02-27,2020-06-05
99 days,Schutz gegen Infektion,3904,2020-02-27,2020-06-05
100 days,Kein Schutz,192831,2020-02-27,2020-06-06
100 days,Schutz gegen Infektion,3904,2020-02-27,2020-06-06
101 days,Kein Schutz,192831,2020-02-27,2020-06-07
101 days,Schutz gegen Infektion,3904,2020-02-27,2020-06-07
102 days,Kein Schutz,192827,2020-02-27,2020-06-08
102 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-08
103 days,Kein Schutz,192827,2020-02-27,2020-06-09
103 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-09
104 days,Kein Schutz,192827,2020-02-27,2020-06-10
104 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-10
105 days,Kein Schutz,192827,2020-02-27,2020-06-11
105 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-11
106 days,Kein Schutz,192827,2020-02-27,2020-06-12
106 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-12
107 days,Kein Schutz,192827,2020-02-27,2020-06-13
107 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-13
108 days,Kein Schutz,192827,2020-02-27,2020-06-14
108 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-14
109 days,Kein Schutz,192827,2020-02-27,2020-06-15
109 days,Schutz gegen Infektion,3908,2020-02-27,2020-06-15
110 days,Kein Schutz,192823,2020-02-27,2020-06-16
110 days,Schutz gegen Infektion,3912,2020-02-27,2020-06-16
111 days,Kein Schutz,192823,2020-02-27,2020-06-17
111 days,Schutz gegen Infektion,3912,2020-02-27,2020-06-17
112 days,Kein Schutz,192819,2020-02-27,2020-06-18
112 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-18
113 days,Kein Schutz,192819,2020-02-27,2020-06-19
113 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-19
114 days,Kein Schutz,192819,2020-02-27,2020-06-20
114 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-20
115 days,Kein Schutz,192819,2020-02-27,2020-06-21
115 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-21
116 days,Kein Schutz,192819,2020-02-27,2020-06-22
116 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-22
117 days,Kein Schutz,192819,2020-02-27,2020-06-23
117 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-23
118 days,Kein Schutz,192819,2020-02-27,2020-06-24
118 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-24
119 days,Kein Schutz,192819,2020-02-27,2020-06-25
119 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-25
120 days,Kein Schutz,192819,2020-02-27,2020-06-26
120 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-26
121 days,Kein Schutz,192819,2020-02-27,2020-06-27
121 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-27
122 days,Kein Schutz,192819,2020-02-27,2020-06-28
122 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-28
123 days,Kein Schutz,192819,2020-02-27,2020-06-29
123 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-29
124 days,Kein Schutz,192819,2020-02-27,2020-06-30
124 days,Schutz gegen Infektion,3916,2020-02-27,2020-06-30
125 days,Kein Schutz,192819,2020-02-27,2020-07-01
125 days,Schutz gegen Infektion,3916,2020-02-27,2020-07-01
126 days,Kein Schutz,192811,2020-02-27,2020-07-02
126 days,Schutz gegen Infektion,3924,2020-02-27,2020-07-02
127 days,Kein Schutz,192803,2020-02-27,2020-07-03
127 days,Schutz gegen Infektion,3932,2020-02-27,2020-07-03
128 days,Kein Schutz,192799,2020-02-27,2020-07-04
128 days,Schutz gegen Infektion,3936,2020-02-27,2020-07-04
129 days,Kein Schutz,192799,2020-02-27,2020-07-05
129 days,Schutz gegen Infektion,3936,2020-02-27,2020-07-05
130 days,Kein Schutz,192787,2020-02-27,2020-07-06
130 days,Schutz gegen Infektion,3948,2020-02-27,2020-07-06
131 days,Kein Schutz,192771,2020-02-27,2020-07-07
131 days,Schutz gegen Infektion,3964,2020-02-27,2020-07-07
132 days,Kein Schutz,192759,2020-02-27,2020-07-08
132 days,Schutz gegen Infektion,3976,2020-02-27,2020-07-08
133 days,Kein Schutz,192747,2020-02-27,2020-07-09
133 days,Schutz gegen Infektion,3988,2020-02-27,2020-07-09
134 days,Kein Schutz,192739,2020-02-27,2020-07-10
134 days,Schutz gegen Infektion,3996,2020-02-27,2020-07-10
135 days,Kein Schutz,192731,2020-02-27,2020-07-11
135 days,Schutz gegen Infektion,4004,2020-02-27,2020-07-11
136 days,Kein Schutz,192727,2020-02-27,2020-07-12
136 days,Schutz gegen Infektion,4008,2020-02-27,2020-07-12
137 days,Kein Schutz,192707,2020-02-27,2020-07-13
137 days,Schutz gegen Infektion,4028,2020-02-27,2020-07-13
138 days,Kein Schutz,192695,2020-02-27,2020-07-14
138 days,Schutz gegen Infektion,4040,2020-02-27,2020-07-14
139 days,Kein Schutz,192687,2020-02-27,2020-07-15
139 days,Schutz gegen Infektion,4048,2020-02-27,2020-07-15
140 days,Kein Schutz,192675,2020-02-27,2020-07-16
140 days,Schutz gegen Infektion,4060,2020-02-27,2020-07-16
141 days,Kein Schutz,192663,2020-02-27,2020-07-17
141 days,Schutz gegen Infektion,4072,2020-02-27,2020-07-17
142 days,Kein Schutz,192663,2020-02-27,2020-07-18
142 days,Schutz gegen Infektion,4072,2020-02-27,2020-07-18
143 days,Kein Schutz,192659,2020-02-27,2020-07-19
143 days,Schutz gegen Infektion,4076,2020-02-27,2020-07-19
144 days,Kein Schutz,192651,2020-02-27,2020-07-20
144 days,Schutz gegen Infektion,4084,2020-02-27,2020-07-20
145 days,Kein Schutz,192643,2020-02-27,2020-07-21
145 days,Schutz gegen Infektion,4092,2020-02-27,2020-07-21
146 days,Kein Schutz,192635,2020-02-27,2020-07-22
146 days,Schutz gegen Infektion,4100,2020-02-27,2020-07-22
147 days,Kein Schutz,192635,2020-02-27,2020-07-23
147 days,Schutz gegen Infektion,4100,2020-02-27,2020-07-23
148 days,Kein Schutz,192627,2020-02-27,2020-07-24
148 days,Schutz gegen Infektion,4108,2020-02-27,2020-07-24
149 days,Kein Schutz,192627,2020-02-27,2020-07-25
149 days,Schutz gegen Infektion,4108,2020-02-27,2020-07-25
150 days,Kein Schutz,192619,2020-02-27,2020-07-26
150 days,Schutz gegen Infektion,4116,2020-02-27,2020-07-26
151 days,Kein Schutz,192583,2020-02-27,2020-07-27
151 days,Schutz gegen Infektion,4152,2020-02-27,2020-07-27
152 days,Kein Schutz,192571,2020-02-27,2020-07-28
152 days,Schutz gegen Infektion,4164,2020-02-27,2020-07-28
153 days,Kein Schutz,192559,2020-02-27,2020-07-29
153 days,Schutz gegen Infektion,4176,2020-02-27,2020-07-29
154 days,Kein Schutz,192551,2020-02-27,2020-07-30
154 days,Schutz gegen Infektion,4184,2020-02-27,2020-07-30
155 days,Kein Schutz,192511,2020-02-27,2020-07-31
155 days,Schutz gegen Infektion,4224,2020-02-27,2020-07-31
156 days,Kein Schutz,192487,2020-02-27,2020-08-01
156 days,Schutz gegen Infektion,4248,2020-02-27,2020-08-01
157 days,Kein Schutz,192483,2020-02-27,2020-08-02
157 days,Schutz gegen Infektion,4252,2020-02-27,2020-08-02
158 days,Kein Schutz,192451,2020-02-27,2020-08-03
158 days,Schutz gegen Infektion,4284,2020-02-27,2020-08-03
159 days,Kein Schutz,192439,2020-02-27,2020-08-04
159 days,Schutz gegen Infektion,4296,2020-02-27,2020-08-04
160 days,Kein Schutz,192431,2020-02-27,2020-08-05
160 days,Schutz gegen Infektion,4304,2020-02-27,2020-08-05
161 days,Kein Schutz,192427,2020-02-27,2020-08-06
161 days,Schutz gegen Infektion,4308,2020-02-27,2020-08-06
162 days,Kein Schutz,192419,2020-02-27,2020-08-07
162 days,Schutz gegen Infektion,4316,2020-02-27,2020-08-07
163 days,Kein Schutz,192411,2020-02-27,2020-08-08
163 days,Schutz gegen Infektion,4324,2020-02-27,2020-08-08
164 days,Kein Schutz,192403,2020-02-27,2020-08-09
164 days,Schutz gegen Infektion,4332,2020-02-27,2020-08-09
165 days,Kein Schutz,192387,2020-02-27,2020-08-10
165 days,Schutz gegen Infektion,4348,2020-02-27,2020-08-10
166 days,Kein Schutz,192359,2020-02-27,2020-08-11
166 days,Schutz gegen Infektion,4376,2020-02-27,2020-08-11
167 days,Kein Schutz,192307,2020-02-27,2020-08-12
167 days,Schutz gegen Infektion,4428,2020-02-27,2020-08-12
168 days,Kein Schutz,192291,2020-02-27,2020-08-13
168 days,Schutz gegen Infektion,4444,2020-02-27,2020-08-13
169 days,Kein Schutz,192247,2020-02-27,2020-08-14
169 days,Schutz gegen Infektion,4488,2020-02-27,2020-08-14
170 days,Kein Schutz,192203,2020-02-27,2020-08-15
170 days,Schutz gegen Infektion,4532,2020-02-27,2020-08-15
171 days,Kein Schutz,192191,2020-02-27,2020-08-16
171 days,Schutz gegen Infektion,4544,2020-02-27,2020-08-16
172 days,Kein Schutz,192155,2020-02-27,2020-08-17
172 days,Schutz gegen Infektion,4580,2020-02-27,2020-08-17
173 days,Kein Schutz,192131,2020-02-27,2020-08-18
173 days,Schutz gegen Infektion,4604,2020-02-27,2020-08-18
174 days,Kein Schutz,192095,2020-02-27,2020-08-19
174 days,Schutz gegen Infektion,4640,2020-02-27,2020-08-19
175 days,Kein Schutz,192071,2020-02-27,2020-08-20
175 days,Schutz gegen Infektion,4664,2020-02-27,2020-08-20
176 days,Kein Schutz,192035,2020-02-27,2020-08-21
176 days,Schutz gegen Infektion,4700,2020-02-27,2020-08-21
177 days,Kein Schutz,192019,2020-02-27,2020-08-22
177 days,Schutz gegen Infektion,4716,2020-02-27,2020-08-22
178 days,Kein Schutz,192019,2020-02-27,2020-08-23
178 days,Schutz gegen Infektion,4716,2020-02-27,2020-08-23
179 days,Kein Schutz,192003,2020-02-27,2020-08-24
179 days,Schutz gegen Infektion,4732,2020-02-27,2020-08-24
180 days,Kein Schutz,191979,2020-02-27,2020-08-25
180 days,Schutz gegen Infektion,4756,2020-02-27,2020-08-25
181 days,Kein Schutz,191959,2020-02-27,2020-08-26
181 days,Schutz gegen Infektion,4776,2020-02-27,2020-08-26
182 days,Kein Schutz,191927,2020-02-27,2020-08-27
182 days,Schutz gegen Infektion,4804,2020-02-27,2020-08-27
182 days,Schutz gegen schwere Krankheit,4,2020-02-27,2020-08-27
183 days,Kein Schutz,191895,2020-02-27,2020-08-28
183 days,Schutz gegen Infektion,4836,2020-02-27,2020-08-28
183 days,Schutz gegen schwere Krankheit,4,2020-02-27,2020-08-28
184 days,Kein Schutz,191883,2020-02-27,2020-08-29
184 days,Schutz gegen Infektion,4848,2020-02-27,2020-08-29
184 days,Schutz gegen schwere Krankheit,4,2020-02-27,2020-08-29
185 days,Kein Schutz,191883,2020-02-27,2020-08-30
185 days,Schutz gegen Infektion,4848,2020-02-27,2020-08-30
185 days,Schutz gegen schwere Krankheit,4,2020-02-27,2020-08-30
186 days,Kein Schutz,191867,2020-02-27,2020-08-31
186 days,Schutz gegen Infektion,4860,2020-02-27,2020-08-31
186 days,Schutz gegen schwere Krankheit,8,2020-02-27,2020-08-31
187 days,Kein Schutz,191851,2020-02-27,2020-09-01
187 days,Schutz gegen Infektion,4872,2020-02-27,2020-09-01
187 days,Schutz gegen schwere Krankheit,12,2020-02-27,2020-09-01
188 days,Kein Schutz,191847,2020-02-27,2020-09-02
188 days,Schutz gegen Infektion,4860,2020-02-27,2020-09-02
188 days,Schutz gegen schwere Krankheit,28,2020-02-27,2020-09-02
189 days,Kein Schutz,191823,2020-02-27,2020-09-03
189 days,Schutz gegen Infektion,4864,2020-02-27,2020-09-03
189 days,Schutz gegen schwere Krankheit,48,2020-02-27,2020-09-03
190 days,Kein Schutz,191811,2020-02-27,2020-09-04
190 days,Schutz gegen Infektion,4856,2020-02-27,2020-09-04
190 days,Schutz gegen schwere Krankheit,68,2020-02-27,2020-09-04
191 days,Kein Schutz,191791,2020-02-27,2020-09-05
191 days,Schutz gegen Infektion,4864,2020-02-27,2020-09-05
191 days,Schutz gegen schwere Krankheit,80,2020-02-27,2020-09-05
192 days,Kein Schutz,191771,2020-02-27,2020-09-06
192 days,Schutz gegen Infektion,4864,2020-02-27,2020-09-06
192 days,Schutz gegen schwere Krankheit,100,2020-02-27,2020-09-06
193 days,Kein Schutz,191763,2020-02-27,2020-09-07
193 days,Schutz gegen Infektion,4832,2020-02-27,2020-09-07
193 days,Schutz gegen schwere Krankheit,140,2020-02-27,2020-09-07
194 days,Kein Schutz,191723,2020-02-27,2020-09-08
194 days,Schutz gegen Infektion,4848,2020-02-27,2020-09-08
194 days,Schutz gegen schwere Krankheit,164,2020-02-27,2020-09-08
195 days,Kein Schutz,191703,2020-02-27,2020-09-09
195 days,Schutz gegen Infektion,4780,2020-02-27,2020-09-09
195 days,Schutz gegen schwere Krankheit,252,2020-02-27,2020-09-09
196 days,Kein Schutz,191699,2020-02-27,2020-09-10
196 days,Schutz gegen Infektion,4688,2020-02-27,2020-09-10
196 days,Schutz gegen schwere Krankheit,348,2020-02-27,2020-09-10
197 days,Kein Schutz,191683,2020-02-27,2020-09-11
197 days,Schutz gegen Infektion,4656,2020-02-27,2020-09-11
197 days,Schutz gegen schwere Krankheit,396,2020-02-27,2020-09-11
198 days,Kein Schutz,191671,2020-02-27,2020-09-12
198 days,Schutz gegen Infektion,4572,2020-02-27,2020-09-12
198 days,Schutz gegen schwere Krankheit,492,2020-02-27,2020-09-12
199 days,Kein Schutz,191663,2020-02-27,2020-09-13
199 days,Schutz gegen Infektion,4524,2020-02-27,2020-09-13
199 days,Schutz gegen schwere Krankheit,548,2020-02-27,2020-09-13
200 days,Kein Schutz,191655,2020-02-27,2020-09-14
200 days,Schutz gegen Infektion,4456,2020-02-27,2020-09-14
200 days,Schutz gegen schwere Krankheit,624,2020-02-27,2020-09-14
201 days,Kein Schutz,191635,2020-02-27,2020-09-15
201 days,Schutz gegen Infektion,4392,2020-02-27,2020-09-15
201 days,Schutz gegen schwere Krankheit,708,2020-02-27,2020-09-15
202 days,Kein Schutz,191631,2020-02-27,2020-09-16
202 days,Schutz gegen Infektion,4200,2020-02-27,2020-09-16
202 days,Schutz gegen schwere Krankheit,904,2020-02-27,2020-09-16
203 days,Kein Schutz,191599,2020-02-27,2020-09-17
203 days,Schutz gegen Infektion,4096,2020-02-27,2020-09-17
203 days,Schutz gegen schwere Krankheit,1040,2020-02-27,2020-09-17
204 days,Kein Schutz,191595,2020-02-27,2020-09-18
204 days,Schutz gegen Infektion,3932,2020-02-27,2020-09-18
204 days,Schutz gegen schwere Krankheit,1208,2020-02-27,2020-09-18
205 days,Kein Schutz,191587,2020-02-27,2020-09-19
205 days,Schutz gegen Infektion,3744,2020-02-27,2020-09-19
205 days,Schutz gegen schwere Krankheit,1404,2020-02-27,2020-09-19
206 days,Kein Schutz,191579,2020-02-27,2020-09-20
206 days,Schutz gegen Infektion,3592,2020-02-27,2020-09-20
206 days,Schutz gegen schwere Krankheit,1564,2020-02-27,2020-09-20
207 days,Kein Schutz,191571,2020-02-27,2020-09-21
207 days,Schutz gegen Infektion,3476,2020-02-27,2020-09-21
207 days,Schutz gegen schwere Krankheit,1688,2020-02-27,2020-09-21
208 days,Kein Schutz,191571,2020-02-27,2020-09-22
208 days,Schutz gegen Infektion,3252,2020-02-27,2020-09-22
208 days,Schutz gegen schwere Krankheit,1912,2020-02-27,2020-09-22
209 days,Kein Schutz,191559,2020-02-27,2020-09-23
